from_url,to_url,status
https://exquisitedentistryla.com/invisalign.html,https://exquisitedentistryla.com/invisalign/,301
https://exquisitedentistryla.com/invisalign-los-angeles.html,https://exquisitedentistryla.com/invisalign/,301
https://exquisitedentistryla.com/teeth-whitening.html,https://exquisitedentistryla.com/teeth-whitening/,301
https://exquisitedentistryla.com/dental-implants.html,https://exquisitedentistryla.com/dental-implants/,301
https://exquisitedentistryla.com/cosmetic-dentistry.html,https://exquisitedentistryla.com/cosmetic-dentistry/,301
https://exquisitedentistryla.com/emergency-dentist.html,https://exquisitedentistryla.com/emergency-dentist/,301
https://exquisitedentistryla.com/veneers-los-angeles.html,https://exquisitedentistryla.com/veneers-los-angeles/,301
https://exquisitedentistryla.com/hollywood-cosmetic-dentist.html,https://exquisitedentistryla.com/services/,301
https://exquisitedentistryla.com/dentist-west-hollywood.html,https://exquisitedentistryla.com/about/,301
https://exquisitedentistryla.com/z-test_value.html,https://exquisitedentistryla.com/,301
